year	method	count
1995	Seed Based Correlation	0
1996	Seed Based Correlation	0
1997	Seed Based Correlation	0
1998	Seed Based Correlation	0
1999	Seed Based Correlation	0
2000	Seed Based Correlation	1
2001	Seed Based Correlation	1
2002	Seed Based Correlation	0
2003	Seed Based Correlation	1
2004	Seed Based Correlation	2
2005	Seed Based Correlation	2
2006	Seed Based Correlation	2
2007	Seed Based Correlation	6
2008	Seed Based Correlation	17
2009	Seed Based Correlation	32
2010	Seed Based Correlation	114
2011	Seed Based Correlation	179
2012	Seed Based Correlation	175
1995	Independent Components Analysis	0
1996	Independent Components Analysis	0
1997	Independent Components Analysis	0
1998	Independent Components Analysis	0
1999	Independent Components Analysis	0
2000	Independent Components Analysis	1
2001	Independent Components Analysis	0
2002	Independent Components Analysis	0
2003	Independent Components Analysis	0
2004	Independent Components Analysis	2
2005	Independent Components Analysis	1
2006	Independent Components Analysis	3
2007	Independent Components Analysis	3
2008	Independent Components Analysis	16
2009	Independent Components Analysis	16
2010	Independent Components Analysis	84
2011	Independent Components Analysis	98
2012	Independent Components Analysis	112
1995	Unsupervised Learning	0
1996	Unsupervised Learning	0
1997	Unsupervised Learning	0
1998	Unsupervised Learning	0
1999	Unsupervised Learning	0
2000	Unsupervised Learning	0
2001	Unsupervised Learning	0
2002	Unsupervised Learning	2
2003	Unsupervised Learning	0
2004	Unsupervised Learning	1
2005	Unsupervised Learning	1
2006	Unsupervised Learning	1
2007	Unsupervised Learning	0
2008	Unsupervised Learning	9
2009	Unsupervised Learning	4
2010	Unsupervised Learning	34
2011	Unsupervised Learning	27
2012	Unsupervised Learning	36
1995	Graph Theory	0
1996	Graph Theory	0
1997	Graph Theory	0
1998	Graph Theory	0
1999	Graph Theory	0
2000	Graph Theory	0
2001	Graph Theory	0
2002	Graph Theory	0
2003	Graph Theory	0
2004	Graph Theory	0
2005	Graph Theory	0
2006	Graph Theory	0
2007	Graph Theory	0
2008	Graph Theory	0
2009	Graph Theory	2
2010	Graph Theory	4
2011	Graph Theory	18
2012	Graph Theory	14
1995	Supervised Learning	0
1996	Supervised Learning	0
1997	Supervised Learning	0
1998	Supervised Learning	0
1999	Supervised Learning	0
2000	Supervised Learning	0
2001	Supervised Learning	0
2002	Supervised Learning	0
2003	Supervised Learning	0
2004	Supervised Learning	0
2005	Supervised Learning	0
2006	Supervised Learning	0
2007	Supervised Learning	0
2008	Supervised Learning	1
2009	Supervised Learning	5
2010	Supervised Learning	20
2011	Supervised Learning	19
2012	Supervised Learning	32
